Collection,Dialect,Record,Concept,Content,XPath,DialectDefinitions
GLEON,EML,04050-metadata.xml,Unknown,"knb.7.1",/eml:eml/@packageId,/eml:eml/@packageId
GLEON,EML,04050-metadata.xml,Unknown,"knb",/eml:eml/@system,/eml:eml/@system
GLEON,EML,04050-metadata.xml,Unknown,"eml://ecoinformatics.org/eml-2.1.1 eml.xsd",/eml:eml/@xsi:schemaLocation,/eml:eml/@xsi:schemaLocation
GLEON,EML,04050-metadata.xml,Security Constraints,"uid=knbadmin,o=NCEAS,dc=ecoinformatics,dc=org all uid=jtallant,o=unaffiliated,dc=ecoinformatics,dc=org all public read",/eml:eml/access,/eml:eml/access
GLEON,EML,04050-metadata.xml,Resource Access Constraints,"uid=knbadmin,o=NCEAS,dc=ecoinformatics,dc=org all uid=jtallant,o=unaffiliated,dc=ecoinformatics,dc=org all public read",/eml:eml/access,/eml:eml/access
GLEON,EML,04050-metadata.xml,Metadata Access Constraints,"uid=knbadmin,o=NCEAS,dc=ecoinformatics,dc=org all uid=jtallant,o=unaffiliated,dc=ecoinformatics,dc=org all public read",/eml:eml/access,/eml:eml/access
GLEON,EML,04050-metadata.xml,Metadata Use Constraints,"uid=knbadmin,o=NCEAS,dc=ecoinformatics,dc=org all uid=jtallant,o=unaffiliated,dc=ecoinformatics,dc=org all public read",/eml:eml/access,/eml:eml/access
GLEON,EML,04050-metadata.xml,Resource Status,"uid=knbadmin,o=NCEAS,dc=ecoinformatics,dc=org all uid=jtallant,o=unaffiliated,dc=ecoinformatics,dc=org all public read",/eml:eml/access,/eml:eml/access
GLEON,EML,04050-metadata.xml,Resource Title,"Temperature, pH,Dissolve Oxygen, and Conductivity Profiles, Douglas Lake, UMBS",/eml:eml/dataset/title,/eml:eml/*/title
GLEON,EML,04050-metadata.xml,Resource Long Name,"Temperature, pH,Dissolve Oxygen, and Conductivity Profiles, Douglas Lake, UMBS",/eml:eml/dataset/title,/eml:eml/*/title
GLEON,EML,04050-metadata.xml,Author,"University of MIchigan Biological Station",/eml:eml/dataset/creator,/eml:eml/*/creator
GLEON,EML,04050-metadata.xml,Author / Originator,"University of MIchigan Biological Station",/eml:eml/dataset/creator,/eml:eml/*/creator
GLEON,EML,04050-metadata.xml,Author,"Jason Tallant University of Michigan",/eml:eml/dataset/creator,/eml:eml/*/creator
GLEON,EML,04050-metadata.xml,Author / Originator,"Jason Tallant University of Michigan",/eml:eml/dataset/creator,/eml:eml/*/creator
GLEON,EML,04050-metadata.xml,Metadata Contact,"Jason Tallant",/eml:eml/dataset/metadataProvider,/eml:eml/*/metadataProvider
GLEON,EML,04050-metadata.xml,Contributor Name,"Jason Tallant associatedParty",/eml:eml/dataset/associatedParty,/eml:eml/*/associatedParty
GLEON,EML,04050-metadata.xml,Publication Date,"2014-10-27",/eml:eml/dataset/pubDate,/eml:eml/*/pubDate
GLEON,EML,04050-metadata.xml,Abstract,"Temperature, pH, dissolved oxygen, and conductivity profiles sampled by Paul Welch and Frank Eggleton in South Fishtail Bay, Douglas Lake, MI from 1913-1950. 132 sample dates over 38 years at depths from 0-21 meters.",/eml:eml/dataset/abstract,/eml:eml/*/abstract
GLEON,EML,04050-metadata.xml,Theme Keyword,"Profiles",/eml:eml/dataset/keywordSet/keyword,/eml:eml/*/keywordSet/keyword
GLEON,EML,04050-metadata.xml,Keyword,"Profiles",/eml:eml/dataset/keywordSet/keyword,/eml:eml/*/keywordSet/keyword
GLEON,EML,04050-metadata.xml,Keyword Vocabulary,"None",/eml:eml/dataset/keywordSet/keywordThesaurus,/eml:eml/*/keywordSet/keywordThesaurus
GLEON,EML,04050-metadata.xml,Rights,"no restrictions",/eml:eml/dataset/intellectualRights,/eml:eml/*/intellectualRights
GLEON,EML,04050-metadata.xml,Resource Use Constraints,"no restrictions",/eml:eml/dataset/intellectualRights,/eml:eml/*/intellectualRights
GLEON,EML,04050-metadata.xml,Resource Distribution,"digital",/eml:eml/dataset/distribution,/eml:eml/*/distribution
GLEON,EML,04050-metadata.xml,Temporal Extent,"1913 1950",/eml:eml/dataset/coverage/temporalCoverage,/eml:eml/*/coverage/temporalCoverage
GLEON,EML,04050-metadata.xml,Spatial Extent,"Pellston, Michigan; Northern Lower Michigan, US -84.6731 -84.6731 45.5617 45.5617",/eml:eml/dataset/coverage/geographicCoverage,/eml:eml/*/coverage/geographicCoverage
GLEON,EML,04050-metadata.xml,Resource Contact,"Jason Tallant",/eml:eml/dataset/contact,/eml:eml/*/contact
GLEON,EML,04050-metadata.xml,Unknown,"848538bc2a1bdb6053ee8bf18737a6d4f6c324fd001",/eml:eml/dataset/otherEntity/@id,/eml:eml/dataset/otherEntity/@id
GLEON,EML,04050-metadata.xml,Unknown,"document",/eml:eml/dataset/otherEntity/@scope,/eml:eml/dataset/otherEntity/@scope
GLEON,EML,04050-metadata.xml,Unknown,"welch_sfbay_profiles_1913-1950.csv",/eml:eml/dataset/otherEntity/entityName,/eml:eml/dataset/otherEntity/entityName
GLEON,EML,04050-metadata.xml,Unknown,"document",/eml:eml/dataset/otherEntity/physical/@scope,/eml:eml/dataset/otherEntity/physical/@scope
GLEON,EML,04050-metadata.xml,Unknown,"welch_sfbay_profiles_1913-1950.csv",/eml:eml/dataset/otherEntity/physical/objectName,/eml:eml/dataset/otherEntity/physical/objectName
GLEON,EML,04050-metadata.xml,Unknown,"69305",/eml:eml/dataset/otherEntity/physical/size,/eml:eml/dataset/otherEntity/physical/size
GLEON,EML,04050-metadata.xml,Unknown,"848538bc2a1bdb6053ee8bf18737a6d4f6c324fd",/eml:eml/dataset/otherEntity/physical/authentication,/eml:eml/dataset/otherEntity/physical/authentication
GLEON,EML,04050-metadata.xml,Unknown,"SHA1",/eml:eml/dataset/otherEntity/physical/authentication/@method,/eml:eml/dataset/otherEntity/physical/authentication/@method
GLEON,EML,04050-metadata.xml,Unknown,"application/vnd.ms-excel",/eml:eml/dataset/otherEntity/physical/dataFormat/externallyDefinedFormat/formatName,/eml:eml/dataset/otherEntity/physical/dataFormat/externallyDefinedFormat/formatName
GLEON,EML,04050-metadata.xml,Unknown,"848538bc2a1bdb6053ee8bf18737a6d4f6c324fd002",/eml:eml/dataset/otherEntity/physical/distribution/@id,/eml:eml/dataset/otherEntity/physical/distribution/@id
GLEON,EML,04050-metadata.xml,Unknown,"document",/eml:eml/dataset/otherEntity/physical/distribution/@scope,/eml:eml/dataset/otherEntity/physical/distribution/@scope
GLEON,EML,04050-metadata.xml,Unknown,"ecogrid://knb/knb.6.1",/eml:eml/dataset/otherEntity/physical/distribution/online/url,/eml:eml/dataset/otherEntity/physical/distribution/online/url
GLEON,EML,04050-metadata.xml,Unknown,"download",/eml:eml/dataset/otherEntity/physical/distribution/online/url/@function,/eml:eml/dataset/otherEntity/physical/distribution/online/url/@function
GLEON,EML,04050-metadata.xml,Unknown,"knb",/eml:eml/dataset/otherEntity/physical/distribution/access/@authSystem,/eml:eml/dataset/otherEntity/physical/distribution/access/@authSystem
GLEON,EML,04050-metadata.xml,Unknown,"allowFirst",/eml:eml/dataset/otherEntity/physical/distribution/access/@order,/eml:eml/dataset/otherEntity/physical/distribution/access/@order
GLEON,EML,04050-metadata.xml,Unknown,"uid=knbadmin,o=NCEAS,dc=ecoinformatics,dc=org",/eml:eml/dataset/otherEntity/physical/distribution/access/allow/principal,/eml:eml/dataset/otherEntity/physical/distribution/access/allow/principal
GLEON,EML,04050-metadata.xml,Unknown,"all",/eml:eml/dataset/otherEntity/physical/distribution/access/allow/permission,/eml:eml/dataset/otherEntity/physical/distribution/access/allow/permission
GLEON,EML,04050-metadata.xml,Unknown,"uid=jtallant,o=unaffiliated,dc=ecoinformatics,dc=org",/eml:eml/dataset/otherEntity/physical/distribution/access/allow/principal,/eml:eml/dataset/otherEntity/physical/distribution/access/allow/principal
GLEON,EML,04050-metadata.xml,Unknown,"all",/eml:eml/dataset/otherEntity/physical/distribution/access/allow/permission,/eml:eml/dataset/otherEntity/physical/distribution/access/allow/permission
GLEON,EML,04050-metadata.xml,Unknown,"public",/eml:eml/dataset/otherEntity/physical/distribution/access/allow/principal,/eml:eml/dataset/otherEntity/physical/distribution/access/allow/principal
GLEON,EML,04050-metadata.xml,Unknown,"read",/eml:eml/dataset/otherEntity/physical/distribution/access/allow/permission,/eml:eml/dataset/otherEntity/physical/distribution/access/allow/permission
GLEON,EML,04050-metadata.xml,Unknown,"Other",/eml:eml/dataset/otherEntity/entityType,/eml:eml/dataset/otherEntity/entityType
