Collection,Dialect,Record,Concept,Content,XPath,DialectDefinition,DocumentLocation
USANPN,EML,00253-metadata.xml,Unknown,"USA_NPN.4.5",/eml:eml/@packageId,Undefined,/eml:eml/@packageId
USANPN,EML,00253-metadata.xml,Unknown,"system",/eml:eml/@scope,Undefined,/eml:eml/@scope
USANPN,EML,00253-metadata.xml,Unknown,"knb",/eml:eml/@system,Undefined,/eml:eml/@system
USANPN,EML,00253-metadata.xml,Unknown,"eml://ecoinformatics.org/eml-2.1.1 eml.xsd",/eml:eml/@xsi:schemaLocation,Undefined,/eml:eml/@xsi:schemaLocation
USANPN,EML,00253-metadata.xml,Security Constraints,"public read",/eml:eml/access,"/eml:eml/access",/eml:eml/access[1]
USANPN,EML,00253-metadata.xml,Resource Access Constraints,"public read",/eml:eml/access,"/eml:eml/access",/eml:eml/access[1]
USANPN,EML,00253-metadata.xml,Metadata Access Constraints,"public read",/eml:eml/access,"/eml:eml/access",/eml:eml/access[1]
USANPN,EML,00253-metadata.xml,Metadata Use Constraints,"public read",/eml:eml/access,"/eml:eml/access",/eml:eml/access[1]
USANPN,EML,00253-metadata.xml,Resource Status,"public read",/eml:eml/access,"/eml:eml/access",/eml:eml/access[1]
USANPN,EML,00253-metadata.xml,Unknown,"document",/eml:eml/dataset/@scope,Undefined,/eml:eml/dataset[1]/@scope
USANPN,EML,00253-metadata.xml,Resource Title,"USA National Phenology Network (USA-NPN) Plant and Animal Phenology Data for the United States, 2013",/eml:eml/dataset/title,"/eml:eml/*/title",/eml:eml/dataset[1]/title[1]
USANPN,EML,00253-metadata.xml,Resource Long Name,"USA National Phenology Network (USA-NPN) Plant and Animal Phenology Data for the United States, 2013",/eml:eml/dataset/title,"/eml:eml/*/title",/eml:eml/dataset[1]/title[1]
USANPN,EML,00253-metadata.xml,Author,"USA National Phenology Network (USA-NPN) National Coordinating Office 1955 E. Sixth St. Tucson AZ 85721 USA 520-626-3821 nco@usanpn.org",/eml:eml/dataset/creator,"/eml:eml/*/creator",/eml:eml/dataset[1]/creator[1]
USANPN,EML,00253-metadata.xml,Author / Originator,"USA National Phenology Network (USA-NPN) National Coordinating Office 1955 E. Sixth St. Tucson AZ 85721 USA 520-626-3821 nco@usanpn.org",/eml:eml/dataset/creator,"/eml:eml/*/creator",/eml:eml/dataset[1]/creator[1]
USANPN,EML,00253-metadata.xml,Contributor Name,"Alyssa Rosemartin USA National Phenology Network Assistant Director, IT & Communications Coordinator Tucson AZ 85721 Author",/eml:eml/dataset/associatedParty,"/eml:eml/*/associatedParty",/eml:eml/dataset[1]/associatedParty[1]
USANPN,EML,00253-metadata.xml,Abstract,"In response to the growing need to understand the response of plant and animal species to environmental variation and climate change and to develop a widespread baseline against which future phenological change may be measured, a consortium of scientists and agencies organized the USA-NPN, with a mandate to collect and share phenology data. More information on the USA-NPN can be found at http://www.usanpn.org/about. As of January 1, 2013, the dataset contains phenology data on 591 species of plants and animals, with 7,512 locations registered across the United States. Protocols used are documented in Denny et. al., Submitted (contact nco@usanpn.org for more information). Data were collected using the phenophase status approach (Thomas et. al., 2010; Denny et. al. Submitted). Latitude and longitude given in WGS84 Datum. This is a suite of yearly data sets (Plants beginning in 2009, Animals beginning in 2010) each provided with and without full phenophase definitions. Supplemental Information: Denny, E.G., K.L. Gerst, A.J. Miller-Rushing, G.L. Tierney, T.M. Crimmins, C.A.F. Enquist, P. Guertin, A.H. Rosemartin, M.D. Schwartz, K.A. Thomas and J.F. Weltzin. Submitted. Standardized phenology monitoring methods to track plant and animal activity for science and resource management applications. Thomas, K.A., E.G. Denny, A.J. Miller-Rushing, T.M. Crimmins, and J.F. Weltzin. 2010. The National Phenology Monitoring System v0.1. USA-NPN Technical Series 2010-001. www.usanpn.org.",/eml:eml/dataset/abstract,"/eml:eml/*/abstract",/eml:eml/dataset[1]/abstract[1]
USANPN,EML,00253-metadata.xml,Keyword,"plants",/eml:eml/dataset/keywordSet/keyword,"/eml:eml/*/keywordSet/keyword[not(contains(@keywordType,"place"))andnot(contains(@keywordType,"place"))andnot(contains(@keywordType,"thematic"))andnot(contains(@keywordType,"temporal"))andnot(contains(@keywordType,"discipline"))andnot(contains(@keywordType,"stratum"))andnot(contains(@keywordType,"taxonomic"))]",/eml:eml/dataset[1]/keywordSet[1]/keyword[1]
USANPN,EML,00253-metadata.xml,Keyword,"animals",/eml:eml/dataset/keywordSet/keyword,"/eml:eml/*/keywordSet/keyword[not(contains(@keywordType,"place"))andnot(contains(@keywordType,"place"))andnot(contains(@keywordType,"thematic"))andnot(contains(@keywordType,"temporal"))andnot(contains(@keywordType,"discipline"))andnot(contains(@keywordType,"stratum"))andnot(contains(@keywordType,"taxonomic"))]",/eml:eml/dataset[1]/keywordSet[1]/keyword[2]
