Collection,Dialect,Record,Concept,Content,XPath,DialectDefinition,DocumentLocation
IOE,EML,04174-metadata.xml,Unknown,"MontanaIOE.112.2",/eml:eml/@packageId,Undefined,/eml:eml/@packageId
IOE,EML,04174-metadata.xml,Unknown,"knb",/eml:eml/@system,Undefined,/eml:eml/@system
IOE,EML,04174-metadata.xml,Unknown,"eml://ecoinformatics.org/eml-2.1.1 eml.xsd",/eml:eml/@xsi:schemaLocation,Undefined,/eml:eml/@xsi:schemaLocation
IOE,EML,04174-metadata.xml,Security Constraints,"public read cn=viglesias,ou=people,dc=rcg,dc=montana,dc=edu read write cn=cwhitlock,ou=people,dc=rcg,dc=montana,dc=edu read write",/eml:eml/access,"/eml:eml/access",/eml:eml/access[1]
IOE,EML,04174-metadata.xml,Resource Access Constraints,"public read cn=viglesias,ou=people,dc=rcg,dc=montana,dc=edu read write cn=cwhitlock,ou=people,dc=rcg,dc=montana,dc=edu read write",/eml:eml/access,"/eml:eml/access",/eml:eml/access[1]
IOE,EML,04174-metadata.xml,Metadata Access Constraints,"public read cn=viglesias,ou=people,dc=rcg,dc=montana,dc=edu read write cn=cwhitlock,ou=people,dc=rcg,dc=montana,dc=edu read write",/eml:eml/access,"/eml:eml/access",/eml:eml/access[1]
IOE,EML,04174-metadata.xml,Metadata Use Constraints,"public read cn=viglesias,ou=people,dc=rcg,dc=montana,dc=edu read write cn=cwhitlock,ou=people,dc=rcg,dc=montana,dc=edu read write",/eml:eml/access,"/eml:eml/access",/eml:eml/access[1]
IOE,EML,04174-metadata.xml,Resource Status,"public read cn=viglesias,ou=people,dc=rcg,dc=montana,dc=edu read write cn=cwhitlock,ou=people,dc=rcg,dc=montana,dc=edu read write",/eml:eml/access,"/eml:eml/access",/eml:eml/access[1]
IOE,EML,04174-metadata.xml,Resource Title,"Fire History in Interior Ponderosa Pine Communities of the Black Hills, South Dakota, USA.",/eml:eml/dataset/title,"/eml:eml/*/title",/eml:eml/dataset[1]/title[1]
IOE,EML,04174-metadata.xml,Resource Long Name,"Fire History in Interior Ponderosa Pine Communities of the Black Hills, South Dakota, USA.",/eml:eml/dataset/title,"/eml:eml/*/title",/eml:eml/dataset[1]/title[1]
IOE,EML,04174-metadata.xml,Author,"P.M. Brown Rocky Mountain Tree-Ring Research, Inc.",/eml:eml/dataset/creator,"/eml:eml/*/creator",/eml:eml/dataset[1]/creator[1]
IOE,EML,04174-metadata.xml,Author / Originator,"P.M. Brown Rocky Mountain Tree-Ring Research, Inc.",/eml:eml/dataset/creator,"/eml:eml/*/creator",/eml:eml/dataset[1]/creator[1]
