Collection,Dialect,Record,Concept,Content,XPath,DialectDefinition,DocumentLocation
CLOEBIRD,EML,00251-metadata.xml,Unknown,"clo-ebird_observation_data_05-19-2014",/eml:eml/@packageId,Undefined,/eml:eml/@packageId
CLOEBIRD,EML,00251-metadata.xml,Unknown,"http://dataone.ornith.cornell.edu/",/eml:eml/@system,Undefined,/eml:eml/@system
CLOEBIRD,EML,00251-metadata.xml,Unknown,"eml://ecoinformatics.org/eml-2.1.1 eml.xsd",/eml:eml/@xsi:schemaLocation,Undefined,/eml:eml/@xsi:schemaLocation
CLOEBIRD,EML,00251-metadata.xml,Security Constraints,"public read",/eml:eml/access,"/eml:eml/access",/eml:eml/access[1]
CLOEBIRD,EML,00251-metadata.xml,Resource Access Constraints,"public read",/eml:eml/access,"/eml:eml/access",/eml:eml/access[1]
CLOEBIRD,EML,00251-metadata.xml,Metadata Access Constraints,"public read",/eml:eml/access,"/eml:eml/access",/eml:eml/access[1]
CLOEBIRD,EML,00251-metadata.xml,Metadata Use Constraints,"public read",/eml:eml/access,"/eml:eml/access",/eml:eml/access[1]
CLOEBIRD,EML,00251-metadata.xml,Resource Status,"public read",/eml:eml/access,"/eml:eml/access",/eml:eml/access[1]
CLOEBIRD,EML,00251-metadata.xml,Unknown,"EOD",/eml:eml/dataset/alternateIdentifier,Undefined,/eml:eml/dataset[1]/alternateIdentifier[1]
CLOEBIRD,EML,00251-metadata.xml,Resource Title,"EOD - eBird Observation Dataset",/eml:eml/dataset/title,"/eml:eml/*/title",/eml:eml/dataset[1]/title[1]
CLOEBIRD,EML,00251-metadata.xml,Resource Long Name,"EOD - eBird Observation Dataset",/eml:eml/dataset/title,"/eml:eml/*/title",/eml:eml/dataset[1]/title[1]
CLOEBIRD,EML,00251-metadata.xml,Author,"Cornell Lab of Ornithology Information Science, Cornell Lab of Ornithology, 159 Sapsucker Woods Road Ithaca NY 14850 U.S.A. http://ebird.org",/eml:eml/dataset/creator,"/eml:eml/*/creator",/eml:eml/dataset[1]/creator[1]
CLOEBIRD,EML,00251-metadata.xml,Author / Originator,"Cornell Lab of Ornithology Information Science, Cornell Lab of Ornithology, 159 Sapsucker Woods Road Ithaca NY 14850 U.S.A. http://ebird.org",/eml:eml/dataset/creator,"/eml:eml/*/creator",/eml:eml/dataset[1]/creator[1]
CLOEBIRD,EML,00251-metadata.xml,Metadata Contact,"Cornell Lab of Ornithology Information Science, Cornell Lab of Ornithology, 159 Sapsucker Woods Road Ithaca NY 14850 U.S.A. http://ebird.org",/eml:eml/dataset/metadataProvider,"/eml:eml/*/metadataProvider",/eml:eml/dataset[1]/metadataProvider[1]
CLOEBIRD,EML,00251-metadata.xml,Resource Creation/Revision Date,"2014-05-19",/eml:eml/dataset/pubDate,"/eml:eml/*/pubDate",/eml:eml/dataset[1]/pubDate[1]
CLOEBIRD,EML,00251-metadata.xml,Publication Date,"2014-05-19",/eml:eml/dataset/pubDate,"/eml:eml/*/pubDate",/eml:eml/dataset[1]/pubDate[1]
CLOEBIRD,EML,00251-metadata.xml,Abstract,"The eBird Citizen Science Project is a real-time, on line checklist program launched in 2002 by the Cornell Lab of Ornithology and the National Audubon Society. The observations of each volunteer participant join those of others creating a database of international avian observation events. The dataset contains count data for bird species observed by novice and experienced bird observers alike. Aggregated observation data is available for non-commercial research purposes. eBird data can be used to document the presence or absence of avian species, as well as abundance and distribution at a variety of spatial and temporal scales. The dataset includes spatial, and temporal parameters describing the observation event. The data collection is static, updated annually",/eml:eml/dataset/abstract,"/eml:eml/*/abstract",/eml:eml/dataset[1]/abstract[1]
CLOEBIRD,EML,00251-metadata.xml,Keyword,"bird",/eml:eml/dataset/keywordSet/keyword,"/eml:eml/*/keywordSet/keyword[not(contains(@keywordType,"place"))andnot(contains(@keywordType,"place"))andnot(contains(@keywordType,"thematic"))andnot(contains(@keywordType,"temporal"))andnot(contains(@keywordType,"discipline"))andnot(contains(@keywordType,"stratum"))andnot(contains(@keywordType,"taxonomic"))]",/eml:eml/dataset[1]/keywordSet[1]/keyword[1]
CLOEBIRD,EML,00251-metadata.xml,Keyword,"avian",/eml:eml/dataset/keywordSet/keyword,"/eml:eml/*/keywordSet/keyword[not(contains(@keywordType,"place"))andnot(contains(@keywordType,"place"))andnot(contains(@keywordType,"thematic"))andnot(contains(@keywordType,"temporal"))andnot(contains(@keywordType,"discipline"))andnot(contains(@keywordType,"stratum"))andnot(contains(@keywordType,"taxonomic"))]",/eml:eml/dataset[1]/keywordSet[1]/keyword[2]
CLOEBIRD,EML,00251-metadata.xml,Keyword,"observation",/eml:eml/dataset/keywordSet/keyword,"/eml:eml/*/keywordSet/keyword[not(contains(@keywordType,"place"))andnot(contains(@keywordType,"place"))andnot(contains(@keywordType,"thematic"))andnot(contains(@keywordType,"temporal"))andnot(contains(@keywordType,"discipline"))andnot(contains(@keywordType,"stratum"))andnot(contains(@keywordType,"taxonomic"))]",/eml:eml/dataset[1]/keywordSet[1]/keyword[3]
