Collection,Dialect,Record,Concept,XPath,Content
SANPARKS,EML,00259-metadata.xml,Abstract,/eml:eml/dataset/abstract,"All the rivers that flow through the KNP originate outside and to the west of the knp where they are highlly utilised. They are crucially important for the conservation of the unique natural environments and biodiversity of the KNP."
SANPARKS,EML,00259-metadata.xml,Attribute Definition,/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,"Station code"
SANPARKS,EML,00259-metadata.xml,Attribute Definition,/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,"Name of the guaging weir"
SANPARKS,EML,00259-metadata.xml,Attribute Definition,/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,"River on which the gauging weir occurs"
SANPARKS,EML,00259-metadata.xml,Attribute Definition,/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,"Variable for which the TPC set"
SANPARKS,EML,00259-metadata.xml,Attribute Definition,/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,"Limits for each variable for the Luvuvhu River"
SANPARKS,EML,00259-metadata.xml,Attribute Definition,/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,"Maximum limits for each variable for station along the Shingwedzi river"
SANPARKS,EML,00259-metadata.xml,Attribute Definition,/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,"Maximum limits for each variable for stations along the Letabab River"
SANPARKS,EML,00259-metadata.xml,Attribute Definition,/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,"Maximum limits for each variable for stations along the Olifants River"
SANPARKS,EML,00259-metadata.xml,Attribute Definition,/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,"Maximum limits for each variable for stations along the Sabie River"
SANPARKS,EML,00259-metadata.xml,Attribute Definition,/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,"Maximum limits for variables for stations along the Crocodile River"
SANPARKS,EML,00259-metadata.xml,Attribute Definition,/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,"Date on which the variable was recorded"
SANPARKS,EML,00259-metadata.xml,Attribute Definition,/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,"Station at which the variable was recorded"
SANPARKS,EML,00259-metadata.xml,Attribute Definition,/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,"Electrical conductivity"
SANPARKS,EML,00259-metadata.xml,Attribute Definition,/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,"Ph"
SANPARKS,EML,00259-metadata.xml,Attribute Definition,/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,"Sodium"
SANPARKS,EML,00259-metadata.xml,Attribute Definition,/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,"Magnesium"
