Abstract,Acknowledgement,Address,AssociatedDIFs,Association,Attribute Definition,Attribute Label,Author / Originator,Bounding Box,Cited Resource Identifier,Cited Resource Title,City,Contact Instructions,Country,Data Quality Scope,DataType,DimensionsName,Distribution Contact,Easternmost Longitude,Email,End Time,Enumerated Domain Value Definition Source,Fax,Feature Catalogue Citation,First Name,Geographic Description,Hours of Service,Instrument,Instrument Keyword,Instrument Keyword Vocabulary,Instrument Short Name,Instrument Type,Keyword,Keyword Type,Keyword Vocabulary,Keyword Vocabulary Citation,Last Name,Metadata Access Constraints,Metadata Association,Metadata Contact,Metadata Dates,Metadata Identifier,Metadata Language,Metadata Modified Date,Metadata Standard Citation,Metadata Standard Version,Middle Name,Name,Naming Authority,Northernmost Latitude,Online Resource,Online Resource Description,Online Resource Name/Title,Organization Name,Other Citation Details,Paleo Temporal Coverage,Party,Phone,Place Keyword,Place Keyword Vocabulary,Platform Short Name,Position Name,Postal_Code,Process Step,Process Step Description,Product Link,Project Name,Province or State,Publication Date,Publication Information,Range Domain Units,Related Resource Citation,Related Resource Identifier,Reprocessing Plan Note,Resource Access Constraints,Resource Contact,Resource Creation/Revision Date,Resource Identifier,Resource Language,Resource Lineage,Resource Long Name,Resource Status,Resource Title,Resource Type,Resource Update Frequency,Resource Use Constraints,Responsibility,Rights,Role,Southernmost Latitude,Spatial Extent,Standard Name Vocabulary,Start Time,Temporal Extent,Theme Keyword,Topic Category,URL,Units,Unknown,VariableType,Web Page,Westernmost Longitude
1.0,2.0,5.0,2.0,2.0,17.0,17.0,1.0,1.0,0.0,15.0,5.0,4.0,5.0,1.0,14.0,17.0,1.0,1.0,5.0,0.0,5.0,4.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,26.0,5.0,5.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,17.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,8.0,2.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,1.0,7.0,1.0,1.0,5.0,0.0,1.0,15.0,1.0,1.0,17.0,477.0,1.0,7.0,1.0
1.0,2.0,5.0,2.0,2.0,5.0,5.0,1.0,1.0,0.0,15.0,5.0,4.0,5.0,1.0,5.0,5.0,1.0,1.0,5.0,0.0,5.0,4.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,10.0,5.0,5.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,4.0,2.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,1.0,7.0,1.0,1.0,5.0,0.0,1.0,6.0,1.0,1.0,5.0,352.0,1.0,7.0,1.0
1.0,2.0,5.0,2.0,2.0,14.0,14.0,1.0,1.0,0.0,13.0,5.0,4.0,5.0,1.0,14.0,14.0,1.0,1.0,5.0,0.0,4.0,4.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,4.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,14.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,6.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,7.0,1.0,1.0,4.0,0.0,1.0,14.0,1.0,1.0,14.0,429.0,1.0,7.0,1.0
1.0,2.0,5.0,2.0,2.0,16.0,16.0,1.0,1.0,0.0,13.0,5.0,4.0,5.0,1.0,15.0,16.0,1.0,1.0,5.0,0.0,4.0,4.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,4.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,16.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,11.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,7.0,1.0,1.0,4.0,0.0,1.0,15.0,1.0,1.0,16.0,455.0,1.0,7.0,1.0
1.0,2.0,5.0,2.0,2.0,10.0,10.0,1.0,1.0,0.0,14.0,5.0,4.0,5.0,1.0,9.0,10.0,1.0,1.0,5.0,0.0,5.0,4.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,14.0,5.0,5.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,10.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,6.0,2.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,7.0,1.0,1.0,5.0,0.0,1.0,10.0,1.0,1.0,10.0,398.0,1.0,7.0,1.0
1.0,2.0,5.0,2.0,2.0,11.0,11.0,1.0,1.0,0.0,14.0,5.0,4.0,5.0,1.0,10.0,11.0,1.0,1.0,5.0,0.0,5.0,4.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,15.0,5.0,5.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,11.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,6.0,2.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,7.0,1.0,1.0,5.0,0.0,1.0,11.0,1.0,1.0,11.0,408.0,1.0,7.0,1.0
1.0,2.0,5.0,2.0,2.0,11.0,11.0,1.0,1.0,0.0,13.0,5.0,4.0,5.0,1.0,10.0,11.0,1.0,1.0,5.0,0.0,4.0,4.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,4.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,11.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,6.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,7.0,1.0,1.0,4.0,0.0,1.0,10.0,1.0,1.0,11.0,395.0,1.0,7.0,1.0
1.0,2.0,5.0,2.0,2.0,10.0,10.0,1.0,1.0,0.0,13.0,5.0,4.0,5.0,1.0,9.0,10.0,1.0,1.0,5.0,0.0,4.0,4.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,4.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,10.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,6.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,7.0,1.0,1.0,4.0,0.0,1.0,9.0,1.0,1.0,10.0,385.0,1.0,7.0,1.0
1.0,2.0,5.0,2.0,2.0,11.0,11.0,1.0,1.0,0.0,13.0,5.0,4.0,5.0,1.0,10.0,11.0,1.0,1.0,5.0,0.0,4.0,4.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,4.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,11.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,6.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,7.0,1.0,1.0,4.0,0.0,1.0,10.0,1.0,1.0,11.0,395.0,1.0,7.0,1.0
1.0,2.0,5.0,2.0,2.0,27.0,27.0,1.0,1.0,0.0,14.0,5.0,4.0,5.0,1.0,20.0,27.0,1.0,1.0,5.0,0.0,5.0,4.0,2.0,3.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,33.0,5.0,5.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,27.0,0.0,1.0,4.0,3.0,2.0,7.0,2.0,0.0,18.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,13.0,2.0,7.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,7.0,1.0,1.0,5.0,0.0,1.0,24.0,1.0,1.0,27.0,584.0,1.0,7.0,1.0
