XPath,dataset_3470.xml,dataset_3484.xml,dataset_3485.xml,dataset_3486.xml,dataset_3508.xml,dataset_3510.xml,dataset_3513.xml,dataset_3514.xml,dataset_3515.xml,dataset_3516.xml,dataset_3517.xml,dataset_3518.xml,dataset_3519.xml,dataset_3520.xml,dataset_3521.xml,dataset_3659.xml,dataset_3662.xml,dataset_3664.xml,dataset_3671.xml,dataset_3672.xml,dataset_3673.xml,dataset_3674.xml,dataset_3687.xml,dataset_3692.xml,dataset_3696.xml,dataset_3698.xml,dataset_3699.xml,dataset_3746.xml,dataset_3821.xml,dataset_3822.xml,dataset_3823.xml,dataset_3824.xml,dataset_3825.xml,dataset_3826.xml,dataset_3827.xml,dataset_3829.xml,dataset_3830.xml,dataset_3831.xml,dataset_3832.xml,dataset_3835.xml,dataset_3836.xml,dataset_3837.xml,dataset_3838.xml,dataset_3839.xml,dataset_3840.xml,dataset_3841.xml,dataset_3842.xml,dataset_3843.xml,dataset_3844.xml,dataset_3845.xml,dataset_3846.xml,dataset_3847.xml,dataset_3848.xml,dataset_3849.xml,dataset_3850.xml,dataset_3851.xml,dataset_3852.xml,dataset_3854.xml,dataset_3855.xml,dataset_3858.xml,dataset_3859.xml,dataset_3860.xml,dataset_3861.xml,dataset_3862.xml,dataset_3863.xml,dataset_3864.xml,dataset_3865.xml,dataset_3867.xml,dataset_3868.xml,dataset_3869.xml,dataset_3870.xml,dataset_3871.xml,dataset_3905.xml,dataset_3913.xml,dataset_3914.xml,dataset_3917.xml,dataset_3933.xml,dataset_4001.xml,dataset_4002.xml,dataset_4063.xml,dataset_4074.xml,dataset_472814.xml,dataset_522753.xml,dataset_522786.xml,dataset_522798.xml,dataset_522810.xml,dataset_522846.xml,dataset_549122.xml,dataset_558538.xml,dataset_637784.xml,dataset_639016.xml,dataset_639847.xml,dataset_641044.xml,dataset_642974.xml,dataset_643213.xml,dataset_643270.xml,dataset_643316.xml,dataset_643423.xml,dataset_643494.xml,dataset_643578.xml,dataset_643592.xml,dataset_643639.xml,dataset_643809.xml,dataset_644607.xml,dataset_644765.xml,dataset_646143.xml,dataset_646842.xml,dataset_647580.xml,dataset_647606.xml,dataset_647909.xml,dataset_648030.xml,dataset_648543.xml,dataset_648753.xml,dataset_650087.xml,dataset_650135.xml,dataset_650340.xml,dataset_651138.xml
/@xsi:schemaLocation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/acquisitionInformation/instrument,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,3.0,3.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,4.0,6.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,0.0,4.0,4.0,4.0,2.0,5.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,5.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,6.0,3.0,3.0,3.0,3.0,2.0,0.0,2.0,3.0
/acquisitionInformation/instrument/description,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,3.0,3.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,4.0,6.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,0.0,4.0,4.0,4.0,2.0,5.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,5.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,6.0,3.0,3.0,3.0,3.0,2.0,0.0,2.0,3.0
/acquisitionInformation/instrument/identifier/code,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,4.0,8.0,4.0,6.0,6.0,0.0,4.0,6.0,2.0,0.0,2.0,0.0,4.0,6.0,2.0,8.0,12.0,2.0,8.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,8.0,2.0,4.0,6.0,2.0,4.0,6.0,4.0,0.0,8.0,8.0,8.0,4.0,10.0,6.0,6.0,6.0,4.0,6.0,4.0,6.0,6.0,6.0,6.0,4.0,2.0,4.0,4.0,6.0,4.0,10.0,4.0,4.0,4.0,2.0,6.0,6.0,4.0,4.0,2.0,2.0,6.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,2.0,4.0,2.0,6.0,6.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,6.0,4.0,2.0,8.0,12.0,6.0,6.0,6.0,2.0,4.0,0.0,4.0,6.0
/acquisitionInformation/instrument/identifier/code/Anchor,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,3.0,3.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,4.0,6.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,0.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,5.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,5.0,3.0,3.0,3.0,0.0,2.0,0.0,2.0,3.0
/acquisitionInformation/instrument/identifier/code/Anchor/@xlink:actuate,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
/acquisitionInformation/instrument/identifier/code/Anchor/@xlink:href,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,3.0,3.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,4.0,6.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,0.0,4.0,4.0,4.0,2.0,5.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,5.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,6.0,3.0,3.0,3.0,3.0,2.0,0.0,2.0,3.0
/acquisitionInformation/instrument/identifier/code/Anchor/@xlink:title,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,3.0,3.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,4.0,6.0,1.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,0.0,4.0,4.0,4.0,2.0,5.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,5.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,6.0,3.0,3.0,3.0,3.0,2.0,0.0,2.0,3.0
/acquisitionInformation/instrument/type,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,4.0,8.0,4.0,6.0,6.0,0.0,4.0,6.0,2.0,0.0,2.0,0.0,4.0,6.0,2.0,8.0,12.0,2.0,8.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,8.0,2.0,4.0,6.0,2.0,4.0,6.0,4.0,0.0,8.0,8.0,8.0,4.0,9.0,6.0,6.0,6.0,4.0,6.0,4.0,6.0,6.0,6.0,6.0,4.0,2.0,4.0,4.0,6.0,4.0,10.0,4.0,4.0,4.0,2.0,6.0,6.0,4.0,4.0,2.0,2.0,6.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,4.0,1.0,6.0,5.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,4.0,6.0,4.0,1.0,8.0,11.0,6.0,6.0,6.0,1.0,4.0,0.0,4.0,6.0
/acquisitionInformation/operation/description,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
