Collection,Dialect,Record,Concept,Content,XPath,DialectDefinition
IIS,MODS,Archives_MODS.xml,Unknown,"3.5",/mods/@version,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd",/mods/@xsi:schemaLocation,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"ATD-000-000-000-024",/mods/recordInfo/recordIdentifier,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"CoBA",/mods/recordInfo/recordIdentifier/@source,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"2012-04-23",/mods/recordInfo/recordCreationDate,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"w3cdtf",/mods/recordInfo/recordCreationDate/@encoding,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"2015-07-24",/mods/recordInfo/recordChangeDate,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"w3cdtf",/mods/recordInfo/recordChangeDate/@encoding,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"NCAR Library and Archives",/mods/recordInfo/recordContentSource,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"Human prepared. Transformed from a record in the OpenSky metadata framework.",/mods/recordInfo/recordOrigin,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"This record was transformed using the following files: osm-main-to-mods.xsl, osm-common-to-mods.xsl, and osm-archives-to-mods.xsl.",/mods/recordInfo/recordOrigin,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"English",/mods/recordInfo/languageOfCataloging/languageTerm,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"text",/mods/recordInfo/languageOfCataloging/languageTerm/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"eng",/mods/recordInfo/languageOfCataloging/languageTerm,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"code",/mods/recordInfo/languageOfCataloging/languageTerm/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"iso639-2b",/mods/recordInfo/languageOfCataloging/languageTerm/@authority,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"Atmospheric Technology, June 1973",/mods/titleInfo/title,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"personal",/mods/name/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"Allen",/mods/name/namePart,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"given",/mods/name/namePart/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"Auten",/mods/name/namePart,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"family",/mods/name/namePart/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"Allen Auten",/mods/name/displayForm,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"editor",/mods/name/role/roleTerm,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"text",/mods/name/role/roleTerm/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"marcrelator",/mods/name/role/roleTerm/@authority,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"edt",/mods/name/role/roleTerm,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"code",/mods/name/role/roleTerm/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"marcrelator",/mods/name/role/roleTerm/@authority,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"personal",/mods/name/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"Ronald",/mods/name/namePart,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"given",/mods/name/namePart/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"Cox",/mods/name/namePart,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"family",/mods/name/namePart/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"Ronald Cox",/mods/name/displayForm,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"editor",/mods/name/role/roleTerm,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"text",/mods/name/role/roleTerm/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"marcrelator",/mods/name/role/roleTerm/@authority,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"edt",/mods/name/role/roleTerm,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"code",/mods/name/role/roleTerm/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"marcrelator",/mods/name/role/roleTerm/@authority,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"personal",/mods/name/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"David",/mods/name/namePart,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"given",/mods/name/namePart/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"Atlas",/mods/name/namePart,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"family",/mods/name/namePart/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"David Atlas",/mods/name/displayForm,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"author",/mods/name/role/roleTerm,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"text",/mods/name/role/roleTerm/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"marcrelator",/mods/name/role/roleTerm/@authority,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"aut",/mods/name/role/roleTerm,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"code",/mods/name/role/roleTerm/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"marcrelator",/mods/name/role/roleTerm/@authority,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"personal",/mods/name/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"Stig",/mods/name/namePart,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"given",/mods/name/namePart/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"Rossby",/mods/name/namePart,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"family",/mods/name/namePart/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"Stig Rossby",/mods/name/displayForm,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"author",/mods/name/role/roleTerm,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"text",/mods/name/role/roleTerm/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"marcrelator",/mods/name/role/roleTerm/@authority,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"aut",/mods/name/role/roleTerm,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"code",/mods/name/role/roleTerm/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"marcrelator",/mods/name/role/roleTerm/@authority,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"personal",/mods/name/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"Daniel",/mods/name/namePart,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"given",/mods/name/namePart/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"F.",/mods/name/namePart,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"given",/mods/name/namePart/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"Rex",/mods/name/namePart,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"family",/mods/name/namePart/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"Daniel F. Rex",/mods/name/displayForm,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"author",/mods/name/role/roleTerm,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"text",/mods/name/role/roleTerm/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"marcrelator",/mods/name/role/roleTerm/@authority,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"aut",/mods/name/role/roleTerm,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"code",/mods/name/role/roleTerm/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"marcrelator",/mods/name/role/roleTerm/@authority,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"personal",/mods/name/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"Julian",/mods/name/namePart,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"given",/mods/name/namePart/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"M.",/mods/name/namePart,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"given",/mods/name/namePart/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"Pike",/mods/name/namePart,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"family",/mods/name/namePart/@type,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"Julian M. Pike",/mods/name/displayForm,Undefined
IIS,MODS,Archives_MODS.xml,Unknown,"author",/mods/name/role/roleTerm,Undefined
