Record,Concept,XPath,Content
01259-metadata.xml,Resource Title,/eml:eml/dataset/title,"MBNMS/PISCO: Physical Oceanography: moored temperature data: La Cruz Rock, California, USA (LAC001)"
01259-metadata.xml,Abstract,/eml:eml/dataset/abstract,"This metadata record describes moored seawater temperature data collected at La Cruz Rock, California, USA, by PISCO. Measurements were collected using a StowAway Tidbit Temperature Logger (Onset Computer Corp. TBI32-05+37) beginning 2007-10-20. The instrument depth was 023 meters, in an overall water depth of 23 meters (both relative to Mean Sea Level, MSL). The sampling interval was 2.0 minutes."
01259-metadata.xml,Keyword Vocabulary,/eml:eml/dataset/keywordSet/keywordThesaurus,"Global Change Master Directory"
01259-metadata.xml,Keyword Vocabulary,/eml:eml/dataset/keywordSet/keywordThesaurus,"IOOS Vocabulary Version 1"
01259-metadata.xml,Keyword Vocabulary,/eml:eml/dataset/keywordSet/keywordThesaurus,"PISCO Categories"
01259-metadata.xml,Resource Contact,/eml:eml/dataset/contact,"Physical Oceanographic Data ManagerPISCOphys-ocean-data-manager@lists.piscoweb.orghttp://www.piscoweb.org"
01259-metadata.xml,Organization Name,/eml:eml/dataset/creator/organizationName,"Monterey Bay National Marine Sanctuary"
01259-metadata.xml,Organization Name,/eml:eml/dataset/creator/organizationName,"Partnership for Interdisciplinary Studies of Coastal Oceans (PISCO)"
01259-metadata.xml,Organization Name,/eml:eml/dataset/contact/organizationName,"PISCO"
01259-metadata.xml,Author,/eml:eml/dataset/creator,"Monterey Bay National Marine Sanctuaryhttp://montereybay.noaa.gov"
01259-metadata.xml,Author,/eml:eml/dataset/creator,"Partnership for Interdisciplinary Studies of Coastal Oceans (PISCO)http://www.piscoweb.org"
01259-metadata.xml,Author,/eml:eml/dataset/creator,"Dr.MargaretMcManusMarine Sciences Building1000 Pope RoadDepartment of OceanographyUniversity of Hawaii at ManoaHonoluluHawaii96822USA(808) 956-8623(808) 956-9225mamc@hawaii.eduhttp://www.piscoweb.org/about-pisco/people/directory/details?individual=mamc"
01259-metadata.xml,Author / Originator World Wide Web Address,/eml:eml/dataset/creator/electronicMailAddress,"mamc@hawaii.edu"
01259-metadata.xml,Resource Identifier,/eml:eml/@packageId,"LAC001_023MTBD023R00_20071020.50.1"
01259-metadata.xml,Purpose,/eml:eml/dataset/purpose,"These data were collected by PISCO to understand the physical processes of the inner continental shelf and their potential effects on marine ecology."
01259-metadata.xml,Southernmost Latitude,/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,"35.713500"
01259-metadata.xml,Northernmost Latitude,/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,"35.713500"
01259-metadata.xml,Westernmost Longitude,/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,"-121.327800"
01259-metadata.xml,Easternmost Longitude,/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,"-121.327800"
01259-metadata.xml,Start Time,/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,"2007-10-20"
