Record,Concept,XPath,Content
02759-metadata.xml,Resource Title,/metadata/idinfo/citation/citeinfo/title,"Low-temperature Thermochronology Database: Apatite (U-Th)/He"
02759-metadata.xml,Resource Creation/Revision Date,/metadata/idinfo/citation/citeinfo/pubdate,"20140926"
02759-metadata.xml,Abstract,/metadata/idinfo/descript/abstract,"This data contribution is a compilation of low-temperature apatite fission track (AFT) and (U-Th)/He thermochronology data from published (historical and current) and new unpublished sources. The regional scope of this data contribution is roughly the southern Rocky Mountains of New Mexico, Colorado and Wyoming with scattered data from surrounding Great Plains, northern plains and Colorado Plateau sites."
02759-metadata.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"low-temperature thermochronology"
02759-metadata.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"apatite fission track"
02759-metadata.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"apatite (U-Th)/He"
02759-metadata.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"utilitiesCommunications"
02759-metadata.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"EPSCoR T1R4"
02759-metadata.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"Geothermal"
02759-metadata.xml,Theme Keyword,/metadata/idinfo/keywords/theme/themekey,"Thermochronology"
02759-metadata.xml,Keyword Vocabulary,/metadata/idinfo/keywords/theme/themekt,"Karl E. Karlstrom"
02759-metadata.xml,Keyword Vocabulary,/metadata/idinfo/keywords/theme/themekt,"ISO 19115 Topic Category"
02759-metadata.xml,Keyword Vocabulary,/metadata/idinfo/keywords/theme/themekt,"Project"
02759-metadata.xml,Metadata Contact,/metadata/metainfo/metc/cntinfo,"Earth Data Analysis Center Clearinghouse Manager mailing and physical address MSC01 1110 1 University of New Mexico Albuquerque NM 87131-0001 USA 505-277-3622 ext. 230 505-277-3614 clearinghouse@edac.unm.edu 0800 - 1700 MT, M-F -7 hours GMT"
02759-metadata.xml,Resource Contact,/metadata/idinfo/ptcontac,"University of New Mexico Karl E. Karlstrom mailing address MSC03 2040 1 University of New Mexico Albuquerque NM 87131 USA 505 277-4346 kek1@unm.edu"
02759-metadata.xml,Organization Name,/metadata/idinfo/citation/citeinfo/origin,"Magdalena Donahue"
02759-metadata.xml,Phone,/metadata/distinfo/distrib/cntinfo/cntvoice,"505-277-3622 ext. 230"
02759-metadata.xml,Phone,/metadata/metainfo/metc/cntinfo/cntvoice,"505-277-3622 ext. 230"
02759-metadata.xml,Author,/metadata/idinfo/citation/citeinfo/origin,"Magdalena Donahue"
02759-metadata.xml,Publication Date,/metadata/idinfo/citation/citeinfo/pubdate,"20140926"
02759-metadata.xml,Presentation Form,/metadata/idinfo/citation/citeinfo/geoform,"spreadsheet"
02759-metadata.xml,Resource Citation,/metadata/idinfo/citation/citeinfo,"Magdalena Donahue 20140926 Low-temperature Thermochronology Database: Apatite (U-Th)/He spreadsheet http://nmepscor.org/data_portal/browse-data http://gstore.unm.edu/apps/energize/datasets/99e2b089-f371-4a9e-b741-8b4d245543c6/AHE_MSD_20140825.original.xlsx http://gstore.unm.edu/apps/energize/datasets/99e2b089-f371-4a9e-b741-8b4d245543c6/metadata/FGDC-STD-001-1998.xml http://gstore.unm.edu/apps/energize/datasets/99e2b089-f371-4a9e-b741-8b4d245543c6/metadata/FGDC-STD-001-1998.html http://gstore.unm.edu/apps/energize/datasets/99e2b089-f371-4a9e-b741-8b4d245543c6/metadata/ISO-19115:2003.xml http://gstore.unm.edu/apps/energize/datasets/99e2b089-f371-4a9e-b741-8b4d245543c6/metadata/ISO-19115:2003.html"
02759-metadata.xml,Purpose,/metadata/idinfo/descript/purpose,"The purpose of this data contribution is to compile and provide easy access to published low-temperature thermochronologic data drawn from journal articles, student theses and dissertations, and new samples circa mid- 2014"
02759-metadata.xml,Lineage Statement,/metadata/dataqual/lineage,"Compilation of data from existing sources: literature review of journal articles, student theses and dissertations. New data collected and processed and added to contribution in 2012-2014. 2014"
02759-metadata.xml,Southernmost Latitude,/metadata/idinfo/spdom/bounding/southbc,"32.363833"
02759-metadata.xml,Northernmost Latitude,/metadata/idinfo/spdom/bounding/northbc,"44.91222"
02759-metadata.xml,Westernmost Longitude,/metadata/idinfo/spdom/bounding/westbc,"-110.8598"
02759-metadata.xml,Easternmost Longitude,/metadata/idinfo/spdom/bounding/eastbc,"-105.094833"
02759-metadata.xml,Place Keyword,/metadata/idinfo/keywords/place/placekey,"New Mexico"
02759-metadata.xml,Place Keyword,/metadata/idinfo/keywords/place/placekey,"Colorado"
02759-metadata.xml,Place Keyword,/metadata/idinfo/keywords/place/placekey,"Wyoming"
02759-metadata.xml,Place Keyword,/metadata/idinfo/keywords/place/placekey,"Great Plains"
02759-metadata.xml,Place Keyword,/metadata/idinfo/keywords/place/placekey,"Colorado Plateau"
02759-metadata.xml,Place Keyword Vocabulary,/metadata/idinfo/keywords/place/placekt,"GNIS"
02759-metadata.xml,Author / Originator,/metadata/idinfo/citation/citeinfo/origin,"Magdalena Donahue"
02759-metadata.xml,Originating Organization,/metadata/idinfo/citation/citeinfo/origin,"Magdalena Donahue"
02759-metadata.xml,URL,/metadata/idinfo/citation/citeinfo/onlink,"http://nmepscor.org/data_portal/browse-data"
02759-metadata.xml,URL,/metadata/idinfo/citation/citeinfo/onlink,"http://gstore.unm.edu/apps/energize/datasets/99e2b089-f371-4a9e-b741-8b4d245543c6/AHE_MSD_20140825.original.xlsx"
02759-metadata.xml,URL,/metadata/idinfo/citation/citeinfo/onlink,"http://gstore.unm.edu/apps/energize/datasets/99e2b089-f371-4a9e-b741-8b4d245543c6/metadata/FGDC-STD-001-1998.xml"
02759-metadata.xml,URL,/metadata/idinfo/citation/citeinfo/onlink,"http://gstore.unm.edu/apps/energize/datasets/99e2b089-f371-4a9e-b741-8b4d245543c6/metadata/FGDC-STD-001-1998.html"
02759-metadata.xml,URL,/metadata/idinfo/citation/citeinfo/onlink,"http://gstore.unm.edu/apps/energize/datasets/99e2b089-f371-4a9e-b741-8b4d245543c6/metadata/ISO-19115:2003.xml"
02759-metadata.xml,URL,/metadata/idinfo/citation/citeinfo/onlink,"http://gstore.unm.edu/apps/energize/datasets/99e2b089-f371-4a9e-b741-8b4d245543c6/metadata/ISO-19115:2003.html"
02759-metadata.xml,Metadata Modified Date,/metadata/metainfo/metd,"20150519"
02759-metadata.xml,Bounding Box,/metadata/idinfo/spdom/bounding,"-110.8598 -105.094833 44.91222 32.363833"
02759-metadata.xml,Contributor Name,/metadata/idinfo/datacred,"Magdalena Donahue"
02759-metadata.xml,Resource Format,/metadata/distinfo/stdorder/digform/digtinfo/formname,"MS Office Open XML Spreadsheet (xslx)"
02759-metadata.xml,Metadata Language,/metadata/metainfo/metstdn,"FGDC Content Standards for Digital Geospatial Metadata"
02759-metadata.xml,Rights,/metadata/idinfo/accconst,"None"
02759-metadata.xml,Rights,/metadata/idinfo/useconst,"None"
02759-metadata.xml,Keyword Type,/metadata/idinfo/keywords/theme/themekt,"Karl E. Karlstrom"
02759-metadata.xml,Keyword Type,/metadata/idinfo/keywords/theme/themekt,"ISO 19115 Topic Category"
02759-metadata.xml,Keyword Type,/metadata/idinfo/keywords/theme/themekt,"Project"
02759-metadata.xml,Resource Access Constraints,/metadata/idinfo/accconst,"None"
02759-metadata.xml,Resource Use Constraints,/metadata/idinfo/useconst,"None"
02759-metadata.xml,Distribution Format,/metadata/distinfo/stdorder/digform/digtinfo/formname,"MS Office Open XML Spreadsheet (xslx)"
02759-metadata.xml,Transfer Size,/metadata/distinfo/stdorder/digform/digtinfo/transize,"1"
02759-metadata.xml,Distribution Contact,/metadata/distinfo/distrib/cntinfo,"Earth Data Analysis Center Clearinghouse Manager mailing and physical address MSC01 1110 1 University of New Mexico Albuquerque NM 87131-0001 USA 505-277-3622 ext. 230 505-277-3614 clearinghouse@edac.unm.edu 0800 - 1700 MT, M-F -7 hours GMT"
02759-metadata.xml,Entity and Attribute Information,/metadata/eainfo,"AHE_MSD_20140825 Compilation of low-temperature apatite fission track (AHE) thermochronology data Magdalena Donahue FID Internal feature number. Esri Sequential unique whole numbers that are automatically generated. Shape Feature geometry. Esri Coordinates defining the features. Y Latitude Magdalena Donahue Unknown Unknown Decimal Degrees X Longitude Magdalena Donahue Unknown Unknown Decimal Degrees Location_ Location/traverse name - Location or traverse upon which samples were collected Magdalena Donahue Location or traverse name Sample_Num Authors specific sample name/number for sample Magdalena Donahue Sample name/number Rock_Type Sample rock type Magdalena Donahue Sample rock type Elevation Elevation above sea level of sample Magdalena Donahue Unknown Unknown Meters Mass__ug_ Mass of apatite crystal Magdalena Donahue Unknown Unknown ug Radius__um Radius of apatite crystal Magdalena Donahue Unknown Unknown um Length__pp Length of apatite crystal Magdalena Donahue Unknown Unknown pp U_Content Uranium content Magdalena Donahue Unknown Unknown ppm Th_Content Thorium content Magdalena Donahue Unknown Unknown ppm Sm_Content Samarium content Magdalena Donahue Unknown Unknown ppm eU__ppm_ Effective uranium content Magdalena Donahue Unknown Unknown ppm 4He__nmol_ Helium-4 Magdalena Donahue Unknown Unknown nmol/g Ft Alpha retentivity (0-1) Magdalena Donahue Unknown Unknown 0-1 Raw_Age Raw age for sample Magdalena Donahue Unknown Unknown Ma Corrected Corrected Age - Age that has been corrected for sample Magdalena Donahue Unknown Unknown Ma Error_± Error or uncertainty in sample age Magdalena Donahue Unknown Unknown Ma Reference Reference (journal article, thesis, etc) from which these data were obtained. Magdalena Donahue Reference"
02759-metadata.xml,Entity Type Label,/metadata/eainfo/detailed/enttyp/enttypl,"AHE_MSD_20140825"
02759-metadata.xml,Entity Type Definition,/metadata/eainfo/detailed/enttyp/enttypd,"Compilation of low-temperature apatite fission track (AHE) thermochronology data"
02759-metadata.xml,Entity Type Definition Source,/metadata/eainfo/detailed/enttyp/enttypds,"Magdalena Donahue"
02759-metadata.xml,Attribute Label,/metadata/eainfo/detailed/attr/attrlabl,"FID"
02759-metadata.xml,Attribute Label,/metadata/eainfo/detailed/attr/attrlabl,"Shape"
02759-metadata.xml,Attribute Label,/metadata/eainfo/detailed/attr/attrlabl,"Y"
02759-metadata.xml,Attribute Label,/metadata/eainfo/detailed/attr/attrlabl,"X"
02759-metadata.xml,Attribute Label,/metadata/eainfo/detailed/attr/attrlabl,"Location_"
02759-metadata.xml,Attribute Label,/metadata/eainfo/detailed/attr/attrlabl,"Sample_Num"
02759-metadata.xml,Attribute Label,/metadata/eainfo/detailed/attr/attrlabl,"Rock_Type"
02759-metadata.xml,Attribute Label,/metadata/eainfo/detailed/attr/attrlabl,"Elevation"
02759-metadata.xml,Attribute Label,/metadata/eainfo/detailed/attr/attrlabl,"Mass__ug_"
02759-metadata.xml,Attribute Label,/metadata/eainfo/detailed/attr/attrlabl,"Radius__um"
02759-metadata.xml,Attribute Label,/metadata/eainfo/detailed/attr/attrlabl,"Length__pp"
