Collection,Record,XPath,Content
CDL,02575-metadata.xml,/metadata/idinfo/citation/citeinfo/origin,"CDPH San Bernardino District"
CDL,02575-metadata.xml,/metadata/idinfo/citation/citeinfo/pubdate,"20110114"
CDL,02575-metadata.xml,/metadata/idinfo/citation/citeinfo/title,"DWSAP Assessment for 3610024-015: HESPERIA WD / WELL 20"
CDL,02575-metadata.xml,/metadata/idinfo/citation/citeinfo/pubinfo/pubplace,"Sacramento, CA"
CDL,02575-metadata.xml,/metadata/idinfo/citation/citeinfo/pubinfo/publish,"California Department of Public Health"
CDL,02575-metadata.xml,/metadata/idinfo/citation/citeinfo/onlink,"http://www.cdph.ca.gov/certlic/drinkingwater/Pages/DWSAP.aspx"
CDL,02575-metadata.xml,/metadata/idinfo/descript/abstract,"A source water assessment identifies the vulnerability of the drinking water supply to contamination from typical human activities. The assessments are intended to facilitate and provide the basic information necessary for a local community to develop a program to protect the drinking water supply."
CDL,02575-metadata.xml,/metadata/idinfo/descript/purpose,"An assessment includes a delineation of an area around a drinking water source through which contaminants might move and reach that drinking water supply. Included is an inventory list of activities that might lead to the release of microbiological or chemical contaminants within the delineated area. The California Drinking Water Source Assessment and Protection (DWSAP) Program document, (http://www.cdph.ca.gov/certlic/drinkingwater/documents/DWSAPGuidance/DWSAP_document.pdf) describes procedures for conducting drinking water source assessments. It conveys the goals and objectives that CDPH seeks to accomplish with the DWSAP program, along with methods that are technically appropriate and easily understood."
CDL,02575-metadata.xml,/metadata/idinfo/timeperd/timeinfo/sngdate/caldate,"20110114"
CDL,02575-metadata.xml,/metadata/idinfo/timeperd/current,"publication date"
CDL,02575-metadata.xml,/metadata/idinfo/status/progress,"Complete"
CDL,02575-metadata.xml,/metadata/idinfo/status/update,"As needed"
CDL,02575-metadata.xml,/metadata/idinfo/spdom/bounding/westbc,"-117.329895019531"
CDL,02575-metadata.xml,/metadata/idinfo/spdom/bounding/eastbc,"-117.312286376953"
CDL,02575-metadata.xml,/metadata/idinfo/spdom/bounding/northbc,"34.4561538696289"
CDL,02575-metadata.xml,/metadata/idinfo/spdom/bounding/southbc,"34.4415245056152"
CDL,02575-metadata.xml,/metadata/idinfo/keywords/theme/themekt,"ISO 19115 Topic Category"
CDL,02575-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"drinking water"
CDL,02575-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"health"
CDL,02575-metadata.xml,/metadata/idinfo/keywords/theme/themekey,"contaminants"
CDL,02575-metadata.xml,/metadata/idinfo/keywords/place/placekey,"California"
CDL,02575-metadata.xml,/metadata/idinfo/keywords/place/placekey,"San Bernardino County"
CDL,02575-metadata.xml,/metadata/idinfo/keywords/place/placekey,"Hesperia"
CDL,02575-metadata.xml,/metadata/idinfo/accconst,"None"
CDL,02575-metadata.xml,/metadata/idinfo/useconst,"None"
CDL,02575-metadata.xml,/metadata/idinfo/ptcontac/cntinfo/cntorgp/cntorg,"California Department of Public Health, CDPH"
