Collection,Dialect,Record,Concept,Content,XPath,DialectDefinition
OLI,ISO,oli_aeri.xml,Unknown,"gov.doe.arm.oli.aeri",/gmi:MI_Metadata/@id,Undefined
OLI,ISO,oli_aeri.xml,Unknown,"http://www.isotc211.org/2005/gmd http://ngdc.noaa.gov/metadata/published/xsd/schema.xsd",/gmi:MI_Metadata/@xsi:schemaLocation,Undefined
OLI,ISO,oli_aeri.xml,Metadata Identifier,"gov.doe.arm.oli.aeri",/gmi:MI_Metadata/gmd:fileIdentifier/gco:CharacterString,"/*/gmd:fileIdentifier//*"
OLI,ISO,oli_aeri.xml,Metadata Language,"en",/gmi:MI_Metadata/gmd:language/gco:CharacterString,"/*/gmd:language//*"
OLI,ISO,oli_aeri.xml,Unknown,"https://geo-ide.noaa.gov/wiki/index.php?title=ISO_19115_and_19115-2_CodeList_Dictionaries#MD_CharacterSetCode",/gmi:MI_Metadata/gmd:characterSet/gmi:MD_CharacterSetCode/@codeList,Undefined
OLI,ISO,oli_aeri.xml,Unknown,"utf8",/gmi:MI_Metadata/gmd:characterSet/gmi:MD_CharacterSetCode/@codeListValue,Undefined
OLI,ISO,oli_aeri.xml,Resource Type,"",/gmi:MI_Metadata/gmd:hierarchyLevel/gmd:MD_ScopeCode,"/*/gmd:hierarchyLevel/gmd:MD_ScopeCode"
OLI,ISO,oli_aeri.xml,Unknown,"series",/gmi:MI_Metadata/gmd:hierarchyLevelName/gco:CharacterString,Undefined
OLI,ISO,oli_aeri.xml,Metadata Modified Date,"20160727",/gmi:MI_Metadata/gmd:dateStamp/gco:Date,"/*/gmd:dateStamp/gco:Date"
OLI,ISO,oli_aeri.xml,Metadata Dates,"20160727",/gmi:MI_Metadata/gmd:dateStamp/gco:Date,"/*/gmd:dateStamp/gco:Date"
OLI,ISO,oli_aeri.xml,Metadata Standard Citation,"ISO 19115-2 Geographic Information - Metadata - Part 2: Extensions for Imagery and Gridded Data",/gmi:MI_Metadata/gmd:metadataStandardName,"/*/gmd:metadataStandardName"
OLI,ISO,oli_aeri.xml,Metadata Standard Version,"ISO 19115-2:2009(E)",/gmi:MI_Metadata/gmd:metadataStandardVersion,"/*/gmd:metadataStandardVersion"
OLI,ISO,oli_aeri.xml,Metadata Contact,"ARM Archive User Services distributor armarchive@ornl.gov 1-888-ARM-DATA http://www.archive.arm.gov/ http://www.arm.gov/ The Archive Data Discovery User Interface, featuring filtered and faceted search logic, multi-pass data selection, filtering data based on data quality, graphical views of data quality and availability, direct access to data quality re ports, and data plots. It allows users to select and order ARM data. information armarchive@ornl.gov 1-888-ARM-DATA http://www.archive.arm.gov/ http://www.arm.gov/ ARM Data Center Custodian",/gmi:MI_Metadata/gmd:contact,"/*/gmd:contact"
OLI,ISO,oli_aeri.xml,Abstract,"The atmospheric emitted radiance interferometer (AERI) is a ground-based instrument that measures the downwelling infrared radiance from the Earth’s atmosphere. The observations have broad spectral content and sufficient spectral resolution to discriminate among gaseous emitters (e.g., carbon dioxide and water vapor) and suspended matter (e.g., aerosols, water droplets, and ice crystals). These upward-looking surface observations can be used to obtain vertical profiles of tropospheric temperature and water vapor, as well as measurements of trace gases (e.g., ozone, carbon monoxide, and methane) and downwelling infrared spectral signatures of clouds and aerosols. The AERI is a passive remote sounding instrument, employing a Fourier transform spectrometer operating in the spectral range 3.3–19.2 μm (520–3020 cm-1) at an unapodized resolution of 0.5 cm-1 (max optical path difference of 1 cm). The extended-range AERI (ER-AERI) deployed in dry climates, like in Alaska, have a spectral range of 3.3–25.0 μm (400–3020 cm-1) that allow measurements in the far-infrared region. Typically, the AERI averages views of the sky over a 16-second interval and operates continuously.",/gmi:MI_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:abstract/gco:CharacterString,"/*/gmd:identificationInfo/*/gmd:abstract//*"
OLI,ISO,oli_aeri.xml,Resource Status,"onGoing",/gmi:MI_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:status/gmd:MD_ProgressCode,"/*/gmd:identificationInfo/*/gmd:status/gmd:MD_ProgressCode"
OLI,ISO,oli_aeri.xml,Publication Information,"ARM aeri:",/gmi:MI_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:title,"/*/gmd:identificationInfo/*/gmd:citation/gmd:CI_Citation//*"
OLI,ISO,oli_aeri.xml,Publication Information,"creation",/gmi:MI_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:date,"/*/gmd:identificationInfo/*/gmd:citation/gmd:CI_Citation//*"
OLI,ISO,oli_aeri.xml,Publication Information,"",/gmi:MI_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:identifier,"/*/gmd:identificationInfo/*/gmd:citation/gmd:CI_Citation//*"
OLI,ISO,oli_aeri.xml,Publication Information,"",/gmi:MI_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty,"/*/gmd:identificationInfo/*/gmd:citation/gmd:CI_Citation//*"
OLI,ISO,oli_aeri.xml,Temporal Extent,"",/gmi:MI_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:extent/gmd:EX_Extent/gmd:temporalElement/gmd:EX_TemporalExtent/gmd:extent,"/*/gmd:identificationInfo/*/gmd:extent/gmd:EX_Extent/gmd:temporalElement/gmd:EX_TemporalExtent//*"
